id,doc_id,file,title,title_normalized,url,source,text,raw_text,chars
canada-top-parks_0_c0,canada-top-parks_0,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,Banff National Park,banff national park,https://parks.canada.ca/pn-np/ab/banff,Canada,"Title: Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff

Banff National Park Rocky Mountain peaks, glacial lakes, and adventure come together in Banff National Park - Canada's first national park and the flagship of the nation's park system. Banff is part of the Canadian Rocky Mountain Parks UNESCO World Heritage Site. Canada Strong Pass Free admission and 25% off camping and overnight stays with Parks Canada is in effect from June 19 to September 7, 2026. Using recreational drones in Banff National Park is prohibited. Anyone caught operating a drone within park boundaries may result in law enforcement action and a fine of up to $25,000. Visiting Lake Louise and Moraine Lake Taking transit is easy, stress-free, and the guaranteed way to see both lakes. Reservations are required. Trail conditions Trail conditions can change rapidly. Be sure to know before you go! The best way to stay up to date in Banff National Park! Visiting Banff National Park Activities and experiences Explore activities and attractions in Banff National Park. Plan your visit How to get here, local attractions, and facilities and services. Camping and over night accommodations Types of accommodations, equipped camping, and nearby accommodations.","Banff National Park Rocky Mountain peaks, glacial lakes, and adventure come together in Banff National Park - Canada's first national park and the flagship of the nation's park system. Banff is part of the Canadian Rocky Mountain Parks UNESCO World Heritage Site. Canada Strong Pass Free admission and 25% off camping and overnight stays with Parks Canada is in effect from June 19 to September 7, 2026. Using recreational drones in Banff National Park is prohibited. Anyone caught operating a drone within park boundaries may result in law enforcement action and a fine of up to $25,000. Visiting Lake Louise and Moraine Lake Taking transit is easy, stress-free, and the guaranteed way to see both lakes. Reservations are required. Trail conditions Trail conditions can change rapidly. Be sure to know before you go! The best way to stay up to date in Banff National Park! Visiting Banff National Park Activities and experiences Explore activities and attractions in Banff National Park. Plan your visit How to get here, local attractions, and facilities and services. Camping and over night accommodations Types of accommodations, equipped camping, and nearby accommodations.",1264
canada-top-parks_0_c1,canada-top-parks_0,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,Banff National Park,banff national park,https://parks.canada.ca/pn-np/ab/banff,Canada,"Title: Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff

Daily visitor fees, camping and program fees, and more. Free admission for youth. Banff National Park entry and service fees help support visitor services and facilities. Banff National Park is a protected area with rules that need to be followed. Learn more about how you can be a responsible park visitor. About Banff National Park Nature and science Learn about the conservation work being done to protect Banff National Park's wilderness. Stewardship and management Planning and management guiding documents, public consultations, information for businesses and residents, filmmakers, photographers and special events. Indigenous connections Parks Canada is working with Indigenous groups with longstanding connection to Banff National Park to strengthen connections with traditionally used lands...","Daily visitor fees, camping and program fees, and more. Free admission for youth. Banff National Park entry and service fees help support visitor services and facilities. Banff National Park is a protected area with rules that need to be followed. Learn more about how you can be a responsible park visitor. About Banff National Park Nature and science Learn about the conservation work being done to protect Banff National Park's wilderness. Stewardship and management Planning and management guiding documents, public consultations, information for businesses and residents, filmmakers, photographers and special events. Indigenous connections Parks Canada is working with Indigenous groups with longstanding connection to Banff National Park to strengthen connections with traditionally used lands...",890
canada-top-parks_0_c2,canada-top-parks_0,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,Banff National Park,banff national park,https://parks.canada.ca/pn-np/ab/banff,Canada,"Title: Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff

| Type | Location text | Location name | Address | | --- | --- | --- | --- | | 1 | Banff National Park | Banff National Park | | Contact Banff National Park Location: Banff Visitor Centre 1-403-762-1550 banffinfo@pc.gc.ca Location: Lake Louise Visitor Centre 1-403-522-3833 lakelouiseinfo-infolakelouise@pc.gc.ca Banff Dispatch Service (non-urgent) Available 24 hours a day, 7 days a week 1-403-762-1470 Hours of operation Banff National Park is open year-round. The Parks Canada App Your pocket guide to the essentials, easy to use navigation, and exclusive access to self-guided tours on your mobile device. More places to discover with Parks Canada Cave and Basin National Historic Site As the birthplace of national parks in Canada, the Cave and Basin shares stories about one of the finest and most extensive systems of natural and cultural heritage places in the world. Banff Park Museum National Historic Site Explore the oldest natural history museum in western Canada and its 5,000+ vintage botanical and zoological specimens - from bears and bighorns, to birds and bees.","| Type | Location text | Location name | Address | | --- | --- | --- | --- | | 1 | Banff National Park | Banff National Park | | Contact Banff National Park Location: Banff Visitor Centre 1-403-762-1550 banffinfo@pc.gc.ca Location: Lake Louise Visitor Centre 1-403-522-3833 lakelouiseinfo-infolakelouise@pc.gc.ca Banff Dispatch Service (non-urgent) Available 24 hours a day, 7 days a week 1-403-762-1470 Hours of operation Banff National Park is open year-round. The Parks Canada App Your pocket guide to the essentials, easy to use navigation, and exclusive access to self-guided tours on your mobile device. More places to discover with Parks Canada Cave and Basin National Historic Site As the birthplace of national parks in Canada, the Cave and Basin shares stories about one of the finest and most extensive systems of natural and cultural heritage places in the world. Banff Park Museum National Historic Site Explore the oldest natural history museum in western Canada and its 5,000+ vintage botanical and zoological specimens - from bears and bighorns, to birds and bees.",1167
canada-top-parks_0_c3,canada-top-parks_0,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,Banff National Park,banff national park,https://parks.canada.ca/pn-np/ab/banff,Canada,"Title: Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff

Rocky Mountain House National Historic Site Discover a historic trading post along the North Saskatchewan River and immerse yourself in stories of Indigenous Peoples and legendary explorers.",Rocky Mountain House National Historic Site Discover a historic trading post along the North Saskatchewan River and immerse yourself in stories of Indigenous Peoples and legendary explorers.,277
canada-top-parks_1_c0,canada-top-parks_1,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,What to see while visiting Banff National Park - Banff National Park,what to see while visiting banff national park - banff national park,https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10,Canada,"Title: What to see while visiting Banff National Park - Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10

What to see while visiting Banff National Park Banff National Park There are so many things to see in Banff National Park that it's sometimes difficult to know where to start! Here are some of the highlights. Keep in mind, the park is especially busy from May through September. Use BanffNow for real-time congestion information and parking availability. Better yet, take transit or a local shuttle and let us do the driving. Plan ahead to make the most of your visit. See interactive exhibits and bubbling thermal waters in an underground cave that gave rise to the birthplace of Canada's national parks. Take a wild trip back in time with vintage natural history specimens from bears to bees. Relax in Canada's highest elevation operational hot spring. This accessible site includes a café and gift shop. Towels and swimsuit rentals are available. Bike or walk the Vermilion Lakes Drive, relax on the docks and benches beside the lakes, learn about the area, snap a picture of Mount Rundle or go for a paddle. Follow wide trails and narrow bridges with railings through a canyon to waterfalls. In the summer, take Roam Public Transit to this popular location on the Bow Valley Parkway.","What to see while visiting Banff National Park Banff National Park There are so many things to see in Banff National Park that it's sometimes difficult to know where to start! Here are some of the highlights. Keep in mind, the park is especially busy from May through September. Use BanffNow for real-time congestion information and parking availability. Better yet, take transit or a local shuttle and let us do the driving. Plan ahead to make the most of your visit. See interactive exhibits and bubbling thermal waters in an underground cave that gave rise to the birthplace of Canada's national parks. Take a wild trip back in time with vintage natural history specimens from bears to bees. Relax in Canada's highest elevation operational hot spring. This accessible site includes a café and gift shop. Towels and swimsuit rentals are available. Bike or walk the Vermilion Lakes Drive, relax on the docks and benches beside the lakes, learn about the area, snap a picture of Mount Rundle or go for a paddle. Follow wide trails and narrow bridges with railings through a canyon to waterfalls. In the summer, take Roam Public Transit to this popular location on the Bow Valley Parkway.",1341
canada-top-parks_1_c1,canada-top-parks_1,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,What to see while visiting Banff National Park - Banff National Park,what to see while visiting banff national park - banff national park,https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10,Canada,"Title: What to see while visiting Banff National Park - Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10

In other seasons, be sure to bring ice cleats. The 2.4 km trail to this summit provides views across the town and Bow Valley. The trailhead is a 15 minute walk (1 km) from downtown Banff. Cyclists, strollers and runners can enjoy mountain views, picnic areas and Vermilion Lakes along this 29 km of paved paths and roadways from Canmore to the Bow valley Parkway. This trail is not maintained in winter. In the summer, ride the Lake Minnewanka bus to visit picturesque lakes including Johnson Lake and Two Jack Lake. Enjoy hiking, picnicking and being on or by the water. In the winter, it is a great destination for cross-country skiing, winter walking or snowshoeing. This spectacular alpine setting is a hub for iconic photos, hikes, canoeing, horseback riding, climbing, and awe-inspiring scenery. For the best experience, take Roam Public Transit or reserve your seat in advance on the Parks Canada shuttles. The Icefields Parkway connects community of Lake Louise and town of Jasper, parallelling the Continental Divide through some of the most wild and remote parts of Banff and Jasper national parks. Explore two highlights below or learn more about the area.","In other seasons, be sure to bring ice cleats. The 2.4 km trail to this summit provides views across the town and Bow Valley. The trailhead is a 15 minute walk (1 km) from downtown Banff. Cyclists, strollers and runners can enjoy mountain views, picnic areas and Vermilion Lakes along this 29 km of paved paths and roadways from Canmore to the Bow valley Parkway. This trail is not maintained in winter. In the summer, ride the Lake Minnewanka bus to visit picturesque lakes including Johnson Lake and Two Jack Lake. Enjoy hiking, picnicking and being on or by the water. In the winter, it is a great destination for cross-country skiing, winter walking or snowshoeing. This spectacular alpine setting is a hub for iconic photos, hikes, canoeing, horseback riding, climbing, and awe-inspiring scenery. For the best experience, take Roam Public Transit or reserve your seat in advance on the Parks Canada shuttles. The Icefields Parkway connects community of Lake Louise and town of Jasper, parallelling the Continental Divide through some of the most wild and remote parts of Banff and Jasper national parks. Explore two highlights below or learn more about the area.",1321
canada-top-parks_1_c2,canada-top-parks_1,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,What to see while visiting Banff National Park - Banff National Park,what to see while visiting banff national park - banff national park,https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10,Canada,"Title: What to see while visiting Banff National Park - Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10

As this 230 km drive winds through glaciers, emerald lakes, and broad sweeping valleys, snow may be present anytime of the year. Hours of operation Seasonal closures and restrictions Wildlife and you Brochures and publications","As this 230 km drive winds through glaciers, emerald lakes, and broad sweeping valleys, snow may be present anytime of the year. Hours of operation Seasonal closures and restrictions Wildlife and you Brochures and publications",380
canada-top-parks_2_c0,canada-top-parks_2,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,Getting to Banff from Calgary - Banff National Park,getting to banff from calgary - banff national park,https://parks.canada.ca/pn-np/ab/banff/visit/parkbus/calgary,Canada,"Title: Getting to Banff from Calgary - Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff/visit/parkbus/calgary

Getting to Banff from Calgary Banff National Park Getting to Banff is easier when you plan ahead and travel together. Banff and Lake Louise are very busy destinations, especially during the summer months. Public transit, shuttles, guided tours, and shared travel options from Calgary help reduce vehicle congestion in Banff National Park. Use transit or shuttle services Take transit or shuttle services from Calgary to Banff and Lake Louise. Seasonal services operate from downtown Calgary and Calgary International Airport. Travel with a guided tour or commercial operator Book a guided tour with a licensed commercial operator. Local guides manage transportation and logistics, allowing you to focus on your visit. Travel as a group Charter a bus or coach for group travel. Leave personal vehicles in Calgary and travel together in one vehicle. Reduce the number of vehicles Carpool with friends or use reputable carpooling services. Use park‑and‑ride services by driving part of the way and transferring to a shuttle in high‑demand areas. Get around locally Walk, cycle, or use an e‑bike where facilities allow.","Getting to Banff from Calgary Banff National Park Getting to Banff is easier when you plan ahead and travel together. Banff and Lake Louise are very busy destinations, especially during the summer months. Public transit, shuttles, guided tours, and shared travel options from Calgary help reduce vehicle congestion in Banff National Park. Use transit or shuttle services Take transit or shuttle services from Calgary to Banff and Lake Louise. Seasonal services operate from downtown Calgary and Calgary International Airport. Travel with a guided tour or commercial operator Book a guided tour with a licensed commercial operator. Local guides manage transportation and logistics, allowing you to focus on your visit. Travel as a group Charter a bus or coach for group travel. Leave personal vehicles in Calgary and travel together in one vehicle. Reduce the number of vehicles Carpool with friends or use reputable carpooling services. Use park‑and‑ride services by driving part of the way and transferring to a shuttle in high‑demand areas. Get around locally Walk, cycle, or use an e‑bike where facilities allow.",1256
canada-top-parks_2_c1,canada-top-parks_2,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,Getting to Banff from Calgary - Banff National Park,getting to banff from calgary - banff national park,https://parks.canada.ca/pn-np/ab/banff/visit/parkbus/calgary,Canada,"Title: Getting to Banff from Calgary - Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff/visit/parkbus/calgary

Active transportation is a low-impact option within townsites and along connected pathways. Use local taxis or rideshare services for short trips when public transit does not meet your needs. For a complete list of licensed commercial transportation operators serving Banff National Park, visit Car-Free Banff.","Active transportation is a low-impact option within townsites and along connected pathways. Use local taxis or rideshare services for short trips when public transit does not meet your needs. For a complete list of licensed commercial transportation operators serving Banff National Park, visit Car-Free Banff.",451
canada-top-parks_3_c0,canada-top-parks_3,F:\IT26\codeacademy\ai-bootcamp\week-6\park-ranger-rag-chatbot\data\processed\canada-top-parks.json,The Bow Valley Parkway - Banff National Park,the bow valley parkway - banff national park,https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/promenade-de-la-vallee-de-la-bow-bow-valley-parkway,Canada,"Title: The Bow Valley Parkway - Banff National Park
Source: Canada
URL: https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/promenade-de-la-vallee-de-la-bow-bow-valley-parkway

The Bow Valley Parkway Banff National Park The Bow Valley Parkway is a scenic winding route between Banff and Lake Louise, and a quieter alternative to the Trans-Canada Highway. This 48-kilometer paved road has roadside pull-offs, picnic areas and scenic views. Bow Valley Parkway Cycling Pilot From 2022 to 2024, Banff National Park piloted a three-year cycling offer along the eastern 17 km section of the Bow Valley Parkway. This pilot offer included restricting public vehicles in the spring and the fall on the Bow Valley Parkway to allow bikers the opportunity to travel the scenic parkway without vehicle traffic. The initial pilot was successful in demonstrating the significant demand for a vehicle-free cycling experience within Banff National Park, resulting in positive public feedback. As such, Parks Canada is extending the Bow Valley Parkway Cycling Pilot for an additional five years (2025-2030). The extended pilot presents an opportunity for Parks Canada to take an adaptive management approach to this unique cycling offer.","The Bow Valley Parkway Banff National Park The Bow Valley Parkway is a scenic winding route between Banff and Lake Louise, and a quieter alternative to the Trans-Canada Highway. This 48-kilometer paved road has roadside pull-offs, picnic areas and scenic views. Bow Valley Parkway Cycling Pilot From 2022 to 2024, Banff National Park piloted a three-year cycling offer along the eastern 17 km section of the Bow Valley Parkway. This pilot offer included restricting public vehicles in the spring and the fall on the Bow Valley Parkway to allow bikers the opportunity to travel the scenic parkway without vehicle traffic. The initial pilot was successful in demonstrating the significant demand for a vehicle-free cycling experience within Banff National Park, resulting in positive public feedback. As such, Parks Canada is extending the Bow Valley Parkway Cycling Pilot for an additional five years (2025-2030). The extended pilot presents an opportunity for Parks Canada to take an adaptive management approach to this unique cycling offer.",1224
